Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRD13,15,Low Fat,49.279.392,Soft Drinks,657.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.752.512
NCP17,19.35,Low Fat,27.827.268,Health and Hygiene,656.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.835.008
FDY11,6.71,reg,29.680.868,Baking Goods,650.142,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.568.846
FDC59,16.7,Regular,54.851.438,Starchy Foods,644.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.309.184
FDZ07,15.1,Regular,0,Fruits and Vegetables,637.194,OUT018,2009,Medium,Tier 3,Supermarket Type2,13.622.268
FDL27,6.17,Low Fat,10.674.255,Meat,634.826,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.749.912
NCK05,20.1,Low Fat,77.769.768,Health and Hygiene,630.536,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.800.576
FDI60,7.22,Regular,38.477.325,Baking Goods,62.951,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.138.518
FDS03,7.825,Low Fat,79.952.983,Meat,627.826,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.624.868
FDV32,7.785,Low Fat,89.069.748,Fruits and Vegetables,62.751,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.707.777
FDP04,15.35,Low Fat,13.869.039,Frozen Foods,625.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.474.176
FDE40,15.6,Regular,0,Dairy,624.194,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.049.522
FDP31,21.1,Regular,16.216.286,Fruits and Vegetables,622.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.835.008
FDS21,19.85,Regular,20.961.192,Snack Foods,620.194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
FDW11,12.6,Low Fat,489.808,Breads,619.194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
FDI21,5.59,Regular,56.833.394,Snack Foods,619.168,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.144.192
FDB51,6.92,Low Fat,38.610.722,Dairy,614.852,OUT018,2009,Medium,Tier 3,Supermarket Type2,13.142.892
NCV30,20.2,Low Fat,66.200.667,Household,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.502
FDT10,16.7,Regular,62.297.249,Snack Foods,606.562,OUT018,2009,Medium,Tier 3,Supermarket Type2,592.562
FDE29,8.905,LF,143.712.172,Frozen Foods,602.878,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.511.682
FDF45,18.2,Regular,12.254.429,Fruits and Vegetables,599.904,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.444.944
FDG56,13.3,reg,71.743.629,Fruits and Vegetables,597.536,OUT018,2009,Medium,Tier 3,Supermarket Type2,918.804
FDA01,15,Regular,54.599.767,Canned,594.904,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.444.944
FDM50,13,Regular,30.211.742,Canned,59.322,OUT018,2009,Medium,Tier 3,Supermarket Type2,539.298
NCP02,7.105,Low Fat,44.991.294,Household,592.562,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.518.182
FDT56,16,Regular,116.063.284,Fruits and Vegetables,591.246,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.530.198
FDT22,10.395,Low Fat,112.553.853,Snack Foods,59.022,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.378.206
FDJ16,9.195,Low Fat,115.353.642,Frozen Foods,589.246,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.267.936
FDU25,12.35,LF,2.678.995,Canned,589.246,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.267.936
NCJ19,18.6,Low Fat,118.661.426,Others,587.588,OUT018,2009,Medium,Tier 3,Supermarket Type2,858.882
FDQ26,13.5,Regular,68.148.886,Dairy,586.562,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.110.744
FDU39,18.85,Low Fat,36.184.755,Meat,585.562,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.703.306
NCR29,7.565,Low Fat,54.863.459,Health and Hygiene,58.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.337
FDN25,7.895,Regular,61.424.738,Breakfast,577.588,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.145.176
NCB55,15.7,Low Fat,161.317.495,Household,575.562,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.295.868
DRI37,15.85,Low Fat,108.036.187,Soft Drinks,573.904,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.030.848
FDS28,8.18,Regular,82.737.261,Frozen Foods,573.588,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.435.528
NCO54,19.5,Low Fat,14.332.439,Household,571.614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.381.535
DRD01,12.1,Regular,61.424.738,Soft Drinks,567.614,OUT018,2009,Medium,Tier 3,Supermarket Type2,10.499.666
NCW54,7.5,Low Fat,96.806.008,Household,562.588,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.871.056
FDC20,10.65,Low Fat,24.069.113,Fruits and Vegetables,562.272,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.272
FDT45,15.85,Low Fat,57.546.914,Snack Foods,558.956,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.913.604
FDG10,6.63,Regular,1.098.386,Snack Foods,554.588,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.435.528
DRI39,13.8,LF,97.457.483,Dairy,55.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.018.674
FDP49,9,Regular,0,Breakfast,552.614,OUT018,2009,Medium,Tier 3,Supermarket Type2,552.614
FDA44,19.7,LF,53.439.522,Fruits and Vegetables,55.093,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.018.674
NCY29,13.65,Low Fat,77.548.732,Health and Hygiene,55.093,OUT018,2009,Medium,Tier 3,Supermarket Type2,452.744
FDI16,14,Regular,136.328.794,Frozen Foods,54.864,OUT018,2009,Medium,Tier 3,Supermarket Type2,319.584
FDV38,19.25,Low Fat,102.188.428,Dairy,543.956,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.011.032
FDG44,6.13,Low Fat,102.607.233,Fruits and Vegetables,540.298,OUT018,2009,Medium,Tier 3,Supermarket Type2,808.947
FDZ40,8.935,Low Fat,40.346.436,Frozen Foods,537.298,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.932.278
FDO04,16.6,Low Fat,26.645.307,Frozen Foods,535.614,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.394.438
FDY24,4.88,Regular,134.037,Baking Goods,533.298,OUT018,2009,Medium,Tier 3,Supermarket Type2,539.298
FDW38,5.325,Regular,139.244.918,Dairy,530.298,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.775.086
FDP22,14.65,Regular,99.535.996,Snack Foods,522.666,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.151.992
FDZ13,7.84,Regular,154.120.252,Canned,51.935,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74
DRG39,14.15,Low Fat,42.352.822,Dairy,516.982,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.623.568
FDT46,11.35,Low Fat,3.093.263,Snack Foods,515.008,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.072.096
FDP36,10.395,Regular,0,Baking Goods,514.008,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.566.088
FDW13,8.5,Low Fat,98.283.459,Canned,513.324,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.347.832
FDP39,12.65,Low Fat,69.707.771,Meat,510.324,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.270.536
FDY40,15.5,Regular,86.184.647,Frozen Foods,509.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.941.536
FDM04,9.195,Regular,4.731.256,Frozen Foods,507.666,OUT018,2009,Medium,Tier 3,Supermarket Type2,512.666
FDY12,9.8,Regular,14.118.383,Baking Goods,505.008,OUT018,2009,Medium,Tier 3,Supermarket Type2,253.004
NCK31,10.895,Low Fat,27.157.955,Others,502.666,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.202.656
FDT43,16.35,Low Fat,20.631.654,Fruits and Vegetables,501.324,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.673.916
NCA53,11.395,Low Fat,9.918.699,Health and Hygiene,494.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.776.544
FDX04,19.6,Regular,41.740.902,Frozen Foods,492.376,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.752
FDJ03,12.35,Regular,72.689.818,Dairy,487.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.883.072
FDB41,19,Regular,97.709.541,Frozen Foods,486.718,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.145.334
NCI43,19.85,Low Fat,26.074.491,Household,486.376,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.752.512
DRE03,19.6,Low Fat,24.325.592,Dairy,485.718,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.254.462
FDG57,14.7,Low Fat,72.592.873,Fruits and Vegetables,485.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.748.612
FDP56,8.185,Low Fat,46.673.494,Fruits and Vegetables,484.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.912.304
DRC01,5.92,Regular,19.278.216,Soft Drinks,482.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.434.228
FDX38,10.5,Regular,48.403.392,Dairy,482.376,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.273.136
NCF19,13,Low Fat,3.525.175,Household,480.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.234.646
FDO19,17.7,Regular,16.664.252,Fruits and Vegetables,479.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,729.051
DRJ25,14.6,Low Fat,151.180.862,Soft Drinks,475.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.434.228
FDO32,6.36,Low Fat,121.034.655,Fruits and Vegetables,47.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.071.938
NCT30,9.1,Low Fat,80.619.969,Household,474.718,OUT018,2009,Medium,Tier 3,Supermarket Type2,472.718
FDU33,7.63,Regular,135.258.515,Snack Foods,472.402,OUT018,2009,Medium,Tier 3,Supermarket Type2,918.804
FDR49,8.71,Low Fat,139.795.569,Canned,472.376,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.108.144
FDE23,17.6,Regular,53.397.642,Starchy Foods,46.706,OUT018,2009,Medium,Tier 3,Supermarket Type2,699.09
DRD37,9.8,Low Fat,13.898.123,Soft Drinks,46.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848
FDJ09,15,Low Fat,58.632.705,Snack Foods,464.744,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.432.928
FDL16,12.85,Low Fat,169.139.066,Frozen Foods,46.406,OUT018,2009,Medium,Tier 3,Supermarket Type2,186.424
FDR20,20,Regular,28.238.317,Fruits and Vegetables,463.744,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.810.976
NCD06,13,Low Fat,99.729.888,Household,46.306,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.272
FDG52,13.65,Low Fat,65.898.197,Frozen Foods,461.402,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.402
FDH33,12.85,Low Fat,122.221.269,Snack Foods,459.428,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.743.412
NCM17,7.93,Low Fat,71.425.647,Health and Hygiene,459.086,OUT018,2009,Medium,Tier 3,Supermarket Type2,10.706.064
FDY35,17.6,Regular,16.092.971,Breads,458.402,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.025.648
FDY07,11.8,Low Fat,0,Fruits and Vegetables,452.402,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.148.505
NCL05,19.6,Low Fat,48.092.778,Health and Hygiene,44.477,OUT018,2009,Medium,Tier 3,Supermarket Type2,432.77
DRL37,15.5,Low Fat,53.589.594,Soft Drinks,44.177,OUT018,2009,Medium,Tier 3,Supermarket Type2,173.108
FDO51,6.785,Regular,42.153.502,Meat,440.112,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.408.896
FDK24,9.195,Low Fat,0,Baking Goods,436.744,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.074.696
FDO60,20,Low Fat,0,Baking Goods,434.086,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.014.774
FDH45,15.1,Regular,106.097.275,Fruits and Vegetables,432.796,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.238.388
NCM30,19.1,Low Fat,67.569.539,Household,430.796,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
FDW35,10.6,LF,11.134.397,Breads,428.454,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.677.816
DRH15,8.775,Low Fat,110.359.004,Dairy,427.428,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.909.704
FDC58,10.195,Low Fat,42.113.173,Snack Foods,425.428,OUT018,2009,Medium,Tier 3,Supermarket Type2,878.856
DRG27,8.895,Low Fat,0,Dairy,420.138,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.685.932
FDP13,8.1,Regular,134.870.732,Canned,41.948,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74
FDN49,17.25,Regular,125.734.578,Breakfast,41.748,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74
NCR18,15.85,Low Fat,20.571.083,Household,416.112,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.556.672
FDM60,10.8,Regular,48.339.408,Baking Goods,415.138,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.467.518
FDC14,14.5,Regular,0,Canned,410.454,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.452.902
FDT04,17.25,Low Fat,0,Frozen Foods,408.822,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.285.152
DRF03,19.1,Low Fat,45.492.697,Dairy,403.138,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.279.794
FDA39,6.32,Low Fat,12.769.753,Meat,399.822,OUT018,2009,Medium,Tier 3,Supermarket Type2,785.644
FDV08,7.35,Low Fat,28.711.412,Fruits and Vegetables,399.454,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.775.086
NCD42,16.5,Low Fat,12.689.327,Health and Hygiene,397.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.277.036
FDG59,15.85,Low Fat,43.410.693,Starchy Foods,394.164,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.544.656
FDU10,10.1,Regular,45.878.153,Snack Foods,385.848,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.847.024
DRF51,15.75,Low Fat,166.513.779,Dairy,380.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.656.542
FDE32,20.7,Low Fat,48.957.533,Fruits and Vegetables,378.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.656.542
FDR43,18.2,Low Fat,162.147.349,Fruits and Vegetables,37.719,OUT018,2009,Medium,Tier 3,Supermarket Type2,549.285
FDF09,6.215,Low Fat,12.198.395,Fruits and Vegetables,374.848,OUT018,2009,Medium,Tier 3,Supermarket Type2,186.424
FDA13,15.85,Low Fat,78.874.948,Canned,374.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.036.048
NCA06,20.5,Low Fat,0,Household,37.119,OUT018,2009,Medium,Tier 3,Supermarket Type2,842.237
FDL52,6.635,Regular,46.277.956,Frozen Foods,367.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,759.012
FDH28,15.85,Regular,110.479.217,Frozen Foods,367.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.313.084
FDD08,8.3,Low Fat,3.549.838,Fruits and Vegetables,366.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.554.072
NCZ17,12.15,Low Fat,79.755.214,Health and Hygiene,366.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.933.578
FDQ36,7.855,Regular,162.205.516,Baking Goods,362.848,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.558.288
NCL41,12.35,Low Fat,41.907.648,Health and Hygiene,362.216,OUT018,2009,Medium,Tier 3,Supermarket Type2,346.216
NCC55,10.695,Low Fat,64.022.881,Household,360.848,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848
NCE31,7.67,Low Fat,185.596.553,Household,357.216,OUT018,2009,Medium,Tier 3,Supermarket Type2,692.432
FDX59,10.195,Low Fat,51.871.718,Breads,353.558,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.376.906
FDJ45,17.75,LF,73.709.686,Seafood,351.216,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.154.592
NCI31,20,Low Fat,8.165.845,Others,35.019,OUT018,2009,Medium,Tier 3,Supermarket Type2,585.904
FDQ47,7.155,Regular,168.871.496,Breads,343.874,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.704.606
FDE59,12.15,Low Fat,62.541.552,Starchy Foods,343.532,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.516.724
DRN35,08.01,Low Fat,70.533.748,Hard Drinks,342.532,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.673.916
FDT36,12.3,LF,111.727.876,Baking Goods,339.874,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.645.984
FDV28,16.1,Regular,160.379.061,Frozen Foods,336.558,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.037.348
FDT02,12.6,LF,2.429.329,Dairy,334.874,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.058.622
NCO06,19.25,Low Fat,108.470.504,Household,334.558,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.414.254
NCN53,5.175,Low Fat,30.479.118,Health and Hygiene,332.874,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.351.732
FDV16,7.75,reg,83.268.523,Frozen Foods,329.558,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.018.674
DRK12,9.5,Low Fat,42.056.944,Soft Drinks,31.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.19
FDS13,6.465,Low Fat,125.210.375,Canned,2.668.884,OUT017,2007,,Tier 2,Supermarket Type1,10.599.536
FDR25,17,Regular,140.311.123,Canned,2.656.884,OUT017,2007,,Tier 2,Supermarket Type1,2.649.884
NCS29,9,Low Fat,69.938.838,Health and Hygiene,2.648.884,OUT017,2007,,Tier 2,Supermarket Type1,29.148.724
FDY02,8.945,Regular,0,Dairy,264.791,OUT017,2007,,Tier 2,Supermarket Type1,4.733.838
FDK51,19.85,Low Fat,5.264.755,Dairy,2.645.884,OUT017,2007,,Tier 2,Supermarket Type1,58.297.448
FDS56,5.785,Regular,38.976.089,Fruits and Vegetables,2.642.252,OUT017,2007,,Tier 2,Supermarket Type1,3.934.878
FDL58,5.78,Regular,0,Snack Foods,2.637.568,OUT017,2007,,Tier 2,Supermarket Type1,2.636.568
FDI15,13.8,Low Fat,14.215.211,Dairy,2.635.884,OUT017,2007,,Tier 2,Supermarket Type1,23.848.956
FDG47,12.8,Low Fat,70.012.633,Starchy Foods,2.628.252,OUT017,2007,,Tier 2,Supermarket Type1,28.855.772
FDR59,14.5,Regular,64.224.789,Breads,2.627.594,OUT017,2007,,Tier 2,Supermarket Type1,70.648.038
FDF05,17.5,Low Fat,27.022.883,Frozen Foods,262.491,OUT017,2007,,Tier 2,Supermarket Type1,5259.82
NCQ29,12,Low Fat,0,Health and Hygiene,2.623.278,OUT017,2007,,Tier 2,Supermarket Type1,15.619.668
FDB15,10.895,Low Fat,137.584.599,Dairy,2.622.568,OUT017,2007,,Tier 2,Supermarket Type1,3.954.852
FDJ41,6.85,Low Fat,23.012.718,Frozen Foods,2.620.594,OUT017,2007,,Tier 2,Supermarket Type1,15.699.564
NCB31,6.235,Low Fat,119.345.629,Household,261.991,OUT017,2007,,Tier 2,Supermarket Type1,2.366.919
FDS26,20.35,Low Fat,89.975.294,Dairy,2.616.594,OUT017,2007,,Tier 2,Supermarket Type1,75.881.226
FDN51,17.85,reg,21.065.311,Meat,2.615.936,OUT017,2007,,Tier 2,Supermarket Type1,60.028.528
FDP28,13.65,Regular,81.096.613,Frozen Foods,2.612.936,OUT017,2007,,Tier 2,Supermarket Type1,31.319.232
DRF37,17.25,Low Fat,84.809.658,Soft Drinks,261.191,OUT017,2007,,Tier 2,Supermarket Type1,3.155.892
FDK28,5.695,Low Fat,65.960.909,Frozen Foods,2.592.646,OUT017,2007,,Tier 2,Supermarket Type1,92.759.256
FDF04,17.5,Low Fat,13.714.183,Frozen Foods,2.592.304,OUT017,2007,,Tier 2,Supermarket Type1,28.416.344
FDA04,11.3,Regular,67.107.448,Frozen Foods,2.581.962,OUT017,2007,,Tier 2,Supermarket Type1,44.029.354
FDM21,20.2,Low Fat,64.728.148,Snack Foods,2.580.646,OUT017,2007,,Tier 2,Supermarket Type1,56.686.212
NCW30,5.21,Low Fat,11.072.173,Household,2.578.962,OUT017,2007,,Tier 2,Supermarket Type1,44.029.354
FDG26,18.85,Low Fat,42.891.098,Canned,257.633,OUT017,2007,,Tier 2,Supermarket Type1,5.382.993
FDA27,20.35,Regular,31.102.571,Dairy,2.572.672,OUT017,2007,,Tier 2,Supermarket Type1,20.453.376
FDD44,08.05,Regular,7.884.393,Fruits and Vegetables,2.570.646,OUT017,2007,,Tier 2,Supermarket Type1,87.605.964
FDP33,18.7,LF,89.777.214,Snack Foods,2.564.672,OUT017,2007,,Tier 2,Supermarket Type1,53.690.112
FDT37,14.15,Low Fat,3.546.967,Canned,2.563.014,OUT017,2007,,Tier 2,Supermarket Type1,48.450.266
FDZ20,16.1,Low Fat,34.501.016,Fruits and Vegetables,2.557.356,OUT017,2007,,Tier 2,Supermarket Type1,2.543.356
FDK03,12.6,Regular,74.338.562,Dairy,2.555.356,OUT017,2007,,Tier 2,Supermarket Type1,96.647.528
FDQ01,19.7,Regular,161.610.636,Canned,2.552.014,OUT017,2007,,Tier 2,Supermarket Type1,35.700.196
NCZ06,19.6,Low Fat,94.694.278,Household,2.549.698,OUT017,2007,,Tier 2,Supermarket Type1,2.536.698
FDD11,12.85,Low Fat,30.789.914,Starchy Foods,254.904,OUT017,2007,,Tier 2,Supermarket Type1,3.036.048
FDT07,5.82,Regular,77.756.427,Fruits and Vegetables,254.533,OUT017,2007,,Tier 2,Supermarket Type1,1.281.665
NCQ06,13,Low Fat,420.611,Household,2.541.014,OUT017,2007,,Tier 2,Supermarket Type1,33.150.182
FDO20,12.85,Regular,152.988.295,Fruits and Vegetables,2.537.382,OUT017,2007,,Tier 2,Supermarket Type1,22.710.438
FDY45,17.5,Low Fat,26.289.984,Snack Foods,2.537.356,OUT017,2007,,Tier 2,Supermarket Type1,3.815.034
NCL55,12.15,Low Fat,65.026.434,Others,253.704,OUT017,2007,,Tier 2,Supermarket Type1,5060.08
NCZ18,7.825,Low Fat,0,Household,2.534.698,OUT017,2007,,Tier 2,Supermarket Type1,68.490.846
FDQ24,15.7,Low Fat,74.083.388,Baking Goods,2.533.724,OUT017,2007,,Tier 2,Supermarket Type1,67.951.548
NCR38,17.25,Low Fat,114.160.573,Household,2.531.724,OUT017,2007,,Tier 2,Supermarket Type1,3.775.086
FDP45,15.7,Regular,3.079.807,Snack Foods,2.529.724,OUT017,2007,,Tier 2,Supermarket Type1,30.200.688
FDD29,12.15,Low Fat,18.514.652,Frozen Foods,2.527.698,OUT017,2007,,Tier 2,Supermarket Type1,58.344.054
FDN22,18.85,Regular,139.087.683,Snack Foods,2.517.724,OUT017,2007,,Tier 2,Supermarket Type1,30.200.688
DRK23,8.395,Low Fat,72.383.777,Hard Drinks,251.504,OUT017,2007,,Tier 2,Supermarket Type1,7.084.112
NCC43,7.39,Low Fat,93.307.713,Household,2.509.066,OUT017,2007,,Tier 2,Supermarket Type1,15.060.396
DRP47,15.75,Low Fat,141.398.626,Hard Drinks,2.505.382,OUT017,2007,,Tier 2,Supermarket Type1,27.757.202
FDT21,7.42,Low Fat,2.050.719,Snack Foods,2.497.092,OUT017,2007,,Tier 2,Supermarket Type1,77.192.852
FDA15,9.3,LF,16.113.019,Dairy,2.488.092,OUT017,2007,,Tier 2,Supermarket Type1,59.762.208
FDF40,20.25,Regular,22.639.471,Dairy,2.484.092,OUT017,2007,,Tier 2,Supermarket Type1,22.410.828
FDI08,18.2,Regular,66.672.058,Fruits and Vegetables,2.481.092,OUT017,2007,,Tier 2,Supermarket Type1,42.331.564
NCH06,12.3,Low Fat,76.987.408,Household,247.946,OUT017,2007,,Tier 2,Supermarket Type1,3.202.498
FDJ48,11.3,Low Fat,56.754.036,Baking Goods,2.475.118,OUT017,2007,,Tier 2,Supermarket Type1,2.470.118
FDQ52,17,Low Fat,120.060.274,Frozen Foods,2.465.434,OUT017,2007,,Tier 2,Supermarket Type1,44.701.812
NCI30,20.25,Low Fat,59.268.885,Household,246.446,OUT017,2007,,Tier 2,Supermarket Type1,3695.19
FDG28,9.285,Regular,49.559.042,Frozen Foods,2.464.144,OUT017,2007,,Tier 2,Supermarket Type1,1.225.072
NCX30,16.7,Low Fat,26.771.204,Household,2.463.776,OUT017,2007,,Tier 2,Supermarket Type1,19.814.208
FDF41,12.15,Low Fat,131.921.819,Frozen Foods,246.346,OUT017,2007,,Tier 2,Supermarket Type1,739.038
DRG49,7.81,Low Fat,67.836.851,Soft Drinks,2.461.486,OUT017,2007,,Tier 2,Supermarket Type1,53.756.692
FDM20,10,Low Fat,38.904.624,Fruits and Vegetables,2.454.144,OUT017,2007,,Tier 2,Supermarket Type1,66.153.888
FDT52,9.695,Regular,47.697.859,Frozen Foods,2.446.144,OUT017,2007,,Tier 2,Supermarket Type1,26.951.584
FDG17,6.865,Regular,36.042.939,Frozen Foods,2.444.486,OUT017,2007,,Tier 2,Supermarket Type1,41.539.262
NCL42,18.85,Low Fat,40.599.963,Household,2.440.144,OUT017,2007,,Tier 2,Supermarket Type1,56.353.312
FDL08,10.8,Low Fat,50.000.257,Fruits and Vegetables,2.439.144,OUT017,2007,,Tier 2,Supermarket Type1,46.552.736
DRC27,13.8,Low Fat,5.843.112,Dairy,2.436.802,OUT017,2007,,Tier 2,Supermarket Type1,19.654.416
FDP16,18.6,Low Fat,39.517.121,Frozen Foods,2.436.802,OUT017,2007,,Tier 2,Supermarket Type1,58.963.248
FDB21,7.475,Low Fat,149.360.698,Fruits and Vegetables,2.434.854,OUT017,2007,,Tier 2,Supermarket Type1,16.917.978
NCJ31,19.2,Low Fat,183.686.937,Others,2.418.196,OUT017,2007,,Tier 2,Supermarket Type1,16.871.372
FDW34,9.6,Low Fat,35.780.385,Snack Foods,241.317,OUT017,2007,,Tier 2,Supermarket Type1,3.645.255
FDR45,10.8,Low Fat,29.107.004,Snack Foods,2.405.222,OUT017,2007,,Tier 2,Supermarket Type1,45.414.218
FDF11,10.195,Regular,17.730.951,Starchy Foods,2.398.538,OUT017,2007,,Tier 2,Supermarket Type1,40.860.146
FDZ26,11.6,Regular,144.832.027,Dairy,2.398.222,OUT017,2007,,Tier 2,Supermarket Type1,40.633.774
FDD17,7.5,Low Fat,32.811.503,Frozen Foods,2.396.906,OUT017,2007,,Tier 2,Supermarket Type1,26.145.966
FDK34,13.35,Low Fat,38.744.606,Snack Foods,2.393.564,OUT017,2007,,Tier 2,Supermarket Type1,30.986.332
NCN55,14.6,Low Fat,59.827.007,Others,2.392.538,OUT017,2007,,Tier 2,Supermarket Type1,3.605.307
FDS44,12.65,Regular,156.926.608,Fruits and Vegetables,2.383.538,OUT017,2007,,Tier 2,Supermarket Type1,55.281.374
